WKNR,AGS,Gemeindename,Wahlbezirksnr.,Wahlberechtigte,Wähler,"Wahlbeteiligung in Prozent","Wahlberechtigte ohne Sperrvermerk","Wahlberechtigte mit Sperrvermerk","Wahlberechtigte nach WO","Wähler mit Wahlschein","Ungültige Stimmen","Gültige Stimmen",SPD,CDU,PDS,DVU,GRÜNE/B90,FDP,AfW,AUB-Brandenburg,DKP,GRAUE,FAMILIE,50 Plus,JA,Offensive D,BRB,Einzelbewerber
002,"1,21E+07",Kyritz,0010,204,90,"44,12",200,4,0,0,0,90,39,19,26,1,2,0,0,2,0,0,0,1,0,0,0,0
002,"1,21E+07",Kyritz,0011,244,114,"46,72",241,3,0,0,3,111,35,25,26,3,2,2,1,1,0,0,14,0,0,0,2,0
002,"1,21E+07",Kyritz,0012,181,133,"73,48",177,4,0,0,2,131,50,21,47,3,2,4,0,1,0,0,3,0,0,0,0,0
002,"1,21E+07",Kyritz,0013,90,62,"68,89",89,1,0,0,0,62,16,8,25,8,0,3,0,0,0,0,2,0,0,0,0,0
002,"1,21E+07",Kyritz,0014,169,75,"44,38",161,8,0,0,0,75,18,18,25,5,2,3,1,0,0,0,2,1,0,0,0,0
002,"1,21E+07",Kyritz,0015,252,111,"44,05",241,11,0,0,3,108,33,33,25,10,0,5,0,0,0,2,0,0,0,0,0,0
002,"1,21E+07",Kyritz,0016,198,115,"58,08",188,10,0,0,2,113,50,19,21,11,6,2,0,0,0,0,1,0,0,1,2,0
002,"1,21E+07",Wittstock/Dosse,0001,921,366,"39,74",898,23,0,0,11,355,93,73,108,34,11,15,2,5,0,0,8,1,3,0,2,0
002,"1,21E+07",Wittstock/Dosse,0002,180,105,"58,33",178,2,0,0,1,104,41,15,36,2,3,7,0,0,0,0,0,0,0,0,0,0
002,"1,21E+07",Wittstock/Dosse,0003,376,174,"46,28",367,9,0,0,5,169,62,18,55,8,4,7,1,2,0,0,7,0,2,0,3,0
002,"1,21E+07",Wittstock/Dosse,0004,310,171,"55,16",296,14,0,0,2,169,40,38,56,9,3,8,0,1,0,2,9,0,3,0,0,0
002,"1,21E+07",Wittstock/Dosse,0005,157,78,"49,68",147,10,0,0,0,78,18,20,27,6,0,4,1,0,0,0,2,0,0,0,0,0
002,"1,21E+07",Wittstock/Dosse,0006,213,124,"58,22",211,2,0,2,3,121,27,40,26,6,3,3,3,3,0,0,8,0,2,0,0,0
002,"1,21E+07",Wittstock/Dosse,0007,188,100,"53,19",183,5,0,0,1,99,28,27,31,3,1,1,3,1,0,0,4,0,0,0,0,0
002,"1,21E+07",Wittstock/Dosse,0008,116,70,"60,34",110,6,0,0,0,70,33,8,19,0,7,0,0,0,0,0,0,0,1,0,2,0
002,"1,21E+07",Wittstock/Dosse,0009,305,166,"54,43",292,13,0,1,4,162,40,29,57,12,8,7,1,1,1,2,3,0,0,0,1,0
002,"1,21E+07",Wittstock/Dosse,0010,224,129,"57,59",216,8,0,0,5,124,23,28,36,10,2,6,0,0,0,0,15,0,4,0,0,0
002,"1,21E+07",Wittstock/Dosse,0011,168,84,"50,00",166,2,0,0,2,82,20,12,29,5,5,1,0,1,0,1,7,0,1,0,0,0
002,"1,21E+07",Wittstock/Dosse,0012,107,77,"71,96",104,3,0,0,2,75,11,21,23,6,0,6,0,0,2,1,1,2,1,0,1,0
002,"1,21E+07",Wittstock/Dosse,0013,141,92,"65,25",141,0,0,0,4,88,19,19,39,1,1,2,0,0,0,1,2,1,1,0,2,0
002,"1,21E+07",Wittstock/Dosse,0014,213,129,"60,56",206,7,0,0,1,128,52,25,29,8,6,1,0,1,0,1,3,1,0,0,1,0
002,"1,21E+07",Wittstock/Dosse,0016,189,89,"47,09",184,5,0,0,1,88,31,13,35,2,1,1,1,1,0,0,3,0,0,0,0,0
002,"1,21E+07",Wittstock/Dosse,0018,333,182,"54,65",322,11,0,2,3,179,60,24,68,4,2,4,1,1,0,0,9,1,4,0,1,0
002,"1,21E+07",Wittstock/Dosse,0019,132,65,"49,24",131,1,0,0,3,62,17,21,15,5,2,1,0,0,0,0,0,1,0,0,0,0
002,"1,21E+07",Wittstock/Dosse,0020,399,217,"54,39",375,24,0,0,5,212,58,50,69,8,3,4,0,2,0,2,13,0,2,1,0,0
002,"1,21E+07",Wittstock/Dosse,0021,148,86,"58,11",146,2,0,0,1,85,20,13,35,5,1,2,0,1,0,0,7,0,1,0,0,0
002,"1,21E+07",Wittstock/Dosse,0022,924,363,"39,29",876,48,0,0,13,350,138,47,113,18,3,5,2,1,1,4,13,2,3,0,0,0
002,"1,21E+07",Wittstock/Dosse,0023,837,401,"47,91",808,29,0,0,7,394,141,64,115,23,7,13,3,4,1,5,5,2,9,0,2,0
002,"1,21E+07",Wittstock/Dosse,0024,1145,466,"40,70",1058,87,0,0,5,461,154,84,159,18,6,13,2,1,0,3,7,4,7,1,2,0
002,"1,21E+07",Wittstock/Dosse,0025,870,325,"37,36",809,61,0,3,4,321,105,57,101,17,3,17,5,3,1,1,4,1,6,0,0,0
002,"1,21E+07",Wittstock/Dosse,0026,635,262,"41,26",622,13,0,0,18,244,66,26,97,16,5,13,0,1,0,2,6,0,10,1,1,0
002,"1,21E+07",Wittstock/Dosse,0027,665,225,"33,83",656,9,0,0,6,219,54,31,81,15,5,7,2,1,0,1,9,6,6,0,1,0
002,"1,21E+07",Wittstock/Dosse,0028,1026,479,"46,69",991,35,0,0,15,464,149,91,136,24,6,18,6,6,1,6,15,1,5,0,0,0
002,"1,21E+07",Wittstock/Dosse,0029,1083,467,"43,12",1029,54,0,0,11,456,151,88,125,26,13,24,2,5,0,4,8,5,5,0,0,0
002,"1,21E+07",Wittstock/Dosse,0030,1079,505,"46,80",994,85,0,0,7,498,164,97,138,24,11,26,2,3,0,5,17,3,7,1,0,0
002,"1,21E+07",Wittstock/Dosse,0031,926,464,"50,11",881,45,0,0,7,457,160,66,136,21,11,33,2,5,0,0,10,2,4,4,3,0
002,"1,21E+07",Briefwahl,9005,0,1188,-,0,0,0,1188,3,1185,386,276,348,19,44,46,12,5,3,10,12,2,17,3,2,0
002,"1,21E+07",Berge,0001,562,316,"56,23",542,20,0,0,2,314,91,95,86,12,11,4,0,1,0,1,4,2,4,0,3,0
002,"1,21E+07",Berge,0002,111,65,"58,56",107,4,0,0,2,63,24,14,18,1,0,2,0,0,0,0,3,0,0,0,1,0
